Day Index,Pageviews
8/31/18,14
9/1/18,6
9/2/18,17
9/3/18,14
9/4/18,11
9/5/18,20
9/6/18,20
9/7/18,7
9/8/18,4
9/9/18,1
9/10/18,13
9/11/18,15
9/12/18,27
9/13/18,20
9/14/18,11
9/15/18,3
9/16/18,7
9/17/18,3
9/18/18,28
9/19/18,20
9/20/18,14
9/21/18,30
9/22/18,7
9/23/18,15
9/24/18,11
9/25/18,15
9/26/18,13
9/27/18,13
9/28/18,14
9/29/18,7
9/30/18,2
10/1/18,11
10/2/18,15
10/3/18,8
10/4/18,3
10/5/18,16
10/6/18,1
10/7/18,22
10/8/18,12
10/9/18,14
10/10/18,29
10/11/18,6
10/12/18,8
10/13/18,6
10/14/18,9
10/15/18,14
10/16/18,16
10/17/18,19
10/18/18,5
10/19/18,15
10/20/18,6
10/21/18,2
10/22/18,15
10/23/18,7
10/24/18,9
10/25/18,16
10/26/18,5
10/27/18,8
10/28/18,9
10/29/18,13
10/30/18,6
10/31/18,14
11/1/18,6
11/2/18,14
11/3/18,9
11/4/18,3
11/5/18,4
11/6/18,22
11/7/18,3
11/8/18,23
11/9/18,41
11/10/18,6
11/11/18,5
11/12/18,29
11/13/18,106
11/14/18,18
11/15/18,9
11/16/18,9
11/17/18,20
11/18/18,13
11/19/18,14
11/20/18,17
11/21/18,23
11/22/18,7
11/23/18,13
11/24/18,7
11/25/18,2
11/26/18,20
11/27/18,8
11/28/18,6
11/29/18,11
11/30/18,5
12/1/18,6
12/2/18,12
12/3/18,32
12/4/18,274
12/5/18,0
12/6/18,0
12/7/18,0
12/8/18,0
12/9/18,0
12/10/18,0
12/11/18,0
12/12/18,0
12/13/18,0
12/14/18,0
12/15/18,0
12/16/18,0
12/17/18,0
12/18/18,0
12/19/18,0
12/20/18,0
12/21/18,0
12/22/18,0
12/23/18,0
12/24/18,0
12/25/18,0
12/26/18,0
12/27/18,0
12/28/18,0
12/29/18,0
12/30/18,0
12/31/18,0
1/1/19,0
1/2/19,0
1/3/19,0
1/4/19,0
1/5/19,0
1/6/19,0
1/7/19,0
1/8/19,0
1/9/19,0
1/10/19,0
1/11/19,38
1/12/19,6
1/13/19,7
1/14/19,15
1/15/19,20
1/16/19,21
1/17/19,6
1/18/19,10
1/19/19,0
1/20/19,15
1/21/19,4
1/22/19,5
1/23/19,20
1/24/19,13
1/25/19,5
1/26/19,5
1/27/19,1
1/28/19,1
1/29/19,2
1/30/19,9
1/31/19,11
2/1/19,3
2/2/19,0
2/3/19,2
2/4/19,11
2/5/19,16
2/6/19,12
2/7/19,7
2/8/19,6
2/9/19,0
2/10/19,3
2/11/19,8
2/12/19,6
2/13/19,5
2/14/19,8
2/15/19,1
2/16/19,2
2/17/19,3
2/18/19,6
2/19/19,11
2/20/19,6
2/21/19,14
2/22/19,5
2/23/19,4
2/24/19,1
2/25/19,1
2/26/19,5
2/27/19,6
2/28/19,7
3/1/19,4
3/2/19,6
3/3/19,8
3/4/19,8
3/5/19,24
3/6/19,4
3/7/19,38
3/8/19,6
3/9/19,0
3/10/19,4
3/11/19,9
3/12/19,11
3/13/19,11
3/14/19,10
3/15/19,8
3/16/19,12
3/17/19,8
3/18/19,13
3/19/19,12
3/20/19,12
3/21/19,11
3/22/19,3
3/23/19,1
3/24/19,8
3/25/19,5
3/26/19,7
3/27/19,9
3/28/19,5
3/29/19,6
3/30/19,5
3/31/19,2
4/1/19,3
4/2/19,2
4/3/19,17
4/4/19,21
4/5/19,7
4/6/19,2
4/7/19,3
4/8/19,9
4/9/19,10
4/10/19,5
4/11/19,6
4/12/19,4
4/13/19,0
4/14/19,7
4/15/19,5
4/16/19,6
4/17/19,10
4/18/19,6
4/19/19,9
4/20/19,2
4/21/19,5
4/22/19,6
4/23/19,13
4/24/19,3
4/25/19,5
4/26/19,4
4/27/19,1
4/28/19,6
4/29/19,6
4/30/19,5
5/1/19,2
5/2/19,7
5/3/19,8
5/4/19,10
5/5/19,9
5/6/19,5
5/7/19,7
5/8/19,4
5/9/19,7
5/10/19,6
5/11/19,2
5/12/19,4
5/13/19,4
5/14/19,16
5/15/19,4
5/16/19,6
5/17/19,10
5/18/19,0
5/19/19,0
5/20/19,17
5/21/19,12
5/22/19,10
5/23/19,14
5/24/19,13
5/25/19,1
5/26/19,4
5/27/19,9
5/28/19,19
5/29/19,5
5/30/19,14
5/31/19,18
6/1/19,0
6/2/19,1
6/3/19,20
6/4/19,18
6/5/19,13
6/6/19,3
6/7/19,13
6/8/19,1
6/9/19,2
6/10/19,13
6/11/19,9
6/12/19,7
6/13/19,20
6/14/19,6
6/15/19,7
6/16/19,2
6/17/19,4
6/18/19,13
6/19/19,20
6/20/19,15
6/21/19,16
6/22/19,2
6/23/19,3
6/24/19,8
6/25/19,9
6/26/19,7
6/27/19,7
6/28/19,15
6/29/19,5
6/30/19,2
7/1/19,24
7/2/19,10
7/3/19,8
7/4/19,17
7/5/19,5
7/6/19,6
7/7/19,1
7/8/19,6
7/9/19,22
7/10/19,3
7/11/19,3
7/12/19,25
7/13/19,6
7/14/19,1
7/15/19,8
7/16/19,13
7/17/19,4
7/18/19,1
7/19/19,3
7/20/19,3
7/21/19,2
7/22/19,16
7/23/19,7
7/24/19,5
7/25/19,6
7/26/19,11
7/27/19,0
7/28/19,2
7/29/19,8
7/30/19,8
7/31/19,3
8/1/19,3
8/2/19,8
8/3/19,0
8/4/19,2
8/5/19,5
8/6/19,15
8/7/19,15
8/8/19,2
8/9/19,12
8/10/19,6
8/11/19,2
8/12/19,8
8/13/19,14
8/14/19,9
8/15/19,1
8/16/19,4
8/17/19,0
8/18/19,2
8/19/19,6
8/20/19,5
8/21/19,10
8/22/19,9
8/23/19,3
8/24/19,4
8/25/19,4
8/26/19,6
8/27/19,13
8/28/19,8
8/29/19,11
8/30/19,11
8/31/19,6